num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*;
         1;  0.0000;   1;     36;  0.2050;  100.0;  100.0;  4.46e-07;
         1;  0.0000;   3;      4;  0.0640;  100.0;  100.0;  2.76e-05;
         1;  0.0000;   7; 125126;  2.7180;  100.0;  100.0;  9.12e-06;
         1;  0.0100;   1;     33;  0.1350;  100.0;  100.0;  2.50e-02;
         1;  0.0100;   3;     40;  0.2040;  100.0;  100.0;  2.50e-02;
         1;  0.0100;   7;   1751;  0.0780;  100.0;  100.0;  2.89e-02;
         1;  0.1000;   1;     22;  0.1120;  100.0;  100.0;  9.18e-02;
         1;  0.1000;   3;     17;  0.1110;  100.0;  100.0;  9.18e-02;
         1;  0.1000;   7;   2376;  0.0800;   98.4;  100.0;  1.11e-01;
         2;  0.0000;   1;    165;  0.4910;  100.0;   98.0;  9.91e-07;
         2;  0.0000;   3;     14;  0.0890;  100.0;   98.8;  2.35e-04;
         2;  0.0000;   7;   2001;  0.0690;  100.0;   98.8;  7.80e-04;
         2;  0.0100;   1;     88;  0.2850;  100.0;   98.8;  4.66e-02;
         2;  0.0100;   3;     44;  0.2220;  100.0;   98.8;  4.66e-02;
         2;  0.0100;   7;   2376;  0.0790;   99.2;   98.8;  6.20e-02;
         2;  0.1000;   1;     35;  0.1620;   96.0;   93.6;  1.27e-01;
         2;  0.1000;   3;     16;  0.1240;   96.0;   93.6;  1.27e-01;
         2;  0.1000;   7;   2376;  0.1020;   54.4;   90.8;  2.98e-01;
         3;  0.0000;   1;    975;  2.6280;   99.6;   97.2;  4.00e-03;
         3;  0.0000;   3;     25;  0.1260;   98.4;   97.6;  1.48e-02;
         3;  0.0000;   7;   2376;  0.0870;   99.2;   98.8;  8.80e-03;
         3;  0.0100;   1;    205;  0.6010;   98.0;   98.8;  7.46e-02;
         3;  0.0100;   3;     43;  0.1970;   98.0;   98.8;  7.46e-02;
         3;  0.0100;   7;   2376;  0.0790;   91.2;   97.6;  1.30e-01;
         3;  0.1000;   1;     39;  0.1740;   97.6;   98.4;  1.68e-01;
         3;  0.1000;   3;     19;  0.1270;   97.6;   98.4;  1.68e-01;
         3;  0.1000;   7;   2376;  0.0670;   54.8;   88.8;  3.71e-01;
         4;  0.0000;   1;     43;  0.1620;  100.0;  100.0;  7.67e-07;
         4;  0.0000;   3;      4;  0.0480;  100.0;  100.0;  2.28e-04;
         4;  0.0000;   7; 125126;  2.6040;  100.0;  100.0;  1.38e-05;
         4;  0.0100;   1;     47;  0.2000;  100.0;  100.0;  2.54e-02;
         4;  0.0100;   3;     38;  0.1980;  100.0;  100.0;  2.54e-02;
         4;  0.0100;   7;   1751;  0.0720;  100.0;  100.0;  2.67e-02;
         4;  0.1000;   1;     35;  0.1640;  100.0;  100.0;  8.94e-02;
         4;  0.1000;   3;     16;  0.1050;  100.0;  100.0;  8.94e-02;
         4;  0.1000;   7;   3126;  0.1080;   98.8;  100.0;  1.09e-01;
         5;  0.0000;   1;     83;  0.2640;  100.0;   99.6;  5.96e-07;
         5;  0.0000;   3;      5;  0.0470;  100.0;  100.0;  1.40e-04;
         5;  0.0000;   7;   2876;  0.1030;  100.0;   99.6;  1.64e-04;
         5;  0.0100;   1;     70;  0.2450;  100.0;   99.6;  3.24e-02;
         5;  0.0100;   3;     39;  0.2220;  100.0;   99.6;  3.24e-02;
         5;  0.0100;   7;   1876;  0.0720;   99.6;   99.6;  4.37e-02;
         5;  0.1000;   1;     37;  0.1570;  100.0;   99.6;  1.09e-01;
         5;  0.1000;   3;     18;  0.1260;  100.0;   99.6;  1.09e-01;
         5;  0.1000;   7;   2376;  0.0790;   55.6;   88.8;  2.46e-01;
