num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*;
         1;  0.0100;   1;     34;  9.2810;   99.9;   99.9;  2.15e-02;
         1;  0.0100;   3;     34; 10.7320;   99.9;   99.9;  2.15e-02;
         1;  0.0100;   7;   1401;  2.4430;   99.9;   99.9;  2.15e-02;
         2;  0.0100;   1;     58; 17.9270;   99.2;   98.8;  3.97e-02;
         2;  0.0100;   3;     39; 28.3010;   99.2;   98.8;  3.97e-02;
         2;  0.0100;   7;   2201;  7.9310;   99.2;   98.8;  3.97e-02;
         3;  0.0100;   1;     82; 43.1880;   97.8;   97.6;  5.17e-02;
         3;  0.0100;   3;     40; 29.4750;   97.8;   97.6;  5.17e-02;
         3;  0.0100;   7;   1301;  5.7950;   98.1;   98.0;  5.19e-02;
         4;  0.0100;   1;     36; 23.1920;   99.9;   99.7;  2.23e-02;
         4;  0.0100;   3;     35; 27.0450;   99.9;   99.7;  2.23e-02;
         4;  0.0100;   7;   1301;  5.6900;   99.9;   99.8;  2.24e-02;
         5;  0.0100;   1;     55; 31.0610;   99.7;   99.7;  2.96e-02;
         5;  0.0100;   3;     39; 27.8010;   99.7;   99.7;  2.96e-02;
         5;  0.0100;   7;   1301;  5.7670;   99.8;   99.7;  2.97e-02;
         6;  0.0100;   1;     76; 39.1650;   99.4;   99.4;  3.65e-02;
         6;  0.0100;   3;     39; 28.9030;   99.4;   99.4;  3.65e-02;
         6;  0.0100;   7;   1801;  7.5170;   99.2;   99.2;  3.66e-02;
         7;  0.0100;   1;     41; 24.6410;   99.9;   99.8;  2.50e-02;
         7;  0.0100;   3;     33; 24.5600;   99.9;   99.8;  2.50e-02;
         7;  0.0100;   7;   1401;  5.9610;   99.8;   99.8;  2.50e-02;
         8;  0.0100;   1;    102; 51.5330;   97.1;   96.8;  6.21e-02;
         8;  0.0100;   3;     42; 31.0150;   97.1;   96.8;  6.21e-02;
         8;  0.0100;   7;   1801;  6.8140;   96.8;   96.4;  6.22e-02;
         9;  0.0100;   1;     82; 43.6860;   98.3;   98.2;  5.03e-02;
         9;  0.0100;   3;     45; 33.2590;   98.3;   98.2;  5.03e-02;
         9;  0.0100;   7;   1201;  5.6030;   98.3;   98.2;  5.03e-02;
         0;  0.0100;   1;     89; 47.2590;   99.0;   99.0;  4.18e-02;
         0;  0.0100;   3;      8;  8.2190;   90.1;   91.2;  6.83e-02;
         0;  0.0100;   7;   1801;  6.9440;   98.9;   98.9;  4.18e-02;
